ID,구분(Category),대리점명(Name),뱃지(Badge),지역(Region),주소(Address),전화번호(Phone),설명(Description),아이디(Username),위도(Latitude),경도(Longitude),홈페이지(Homepage),등록일시(Created At),수정일시(Updated At)
1770249233020,Helix/Match 취급점,퍼니사운드,Team Alpine · Helix/Match 취급,전북,전북특별자치도 전주시 덕진구 쪽구름2길 34 1층 101호,010-5123-9255,알파인 모든 사운드 시스템을 취급합니다.,funnysound,,,https://blog.naver.com/bezel0822,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249301228,Team Alpine,레트로카오디오,Team Alpine,강원,강원특별자치도 속초시 청호로 40,010-6879-9255,알파인 모든 사운드 시스템을 취급합니다.,retrocaraudio,,,https://blog.naver.com/retro_sound,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249368030,Team Alpine,사운드로우,Team Alpine,서울,서울특별시 영등포구 도림로 263 현대빌딩,010-3606-7521,알파인 모든 사운드 시스템을 취급합니다.,soundraw,,,https://blog.naver.com/soundraw21,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249535832,Alpine Style Distributor,바이지츠아우토,AlpineStyle,"경기동부(남양주,하남,이천,양평)",경기도 하남시 대성로169번길 34,010-9126-9223,"알파인스타일 전국총판(40개 대리점보유)알파인 테슬라패키지, 알파인 디지털룸미러, 메티오사운드, 알파인 OEM Fit",beisitauto01,,,https://blog.naver.com/beisitz,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770249644286,bad_seller,사운드닥터,bad_seller,부산,부산광역시 강서구 대저중앙로 139,010-4855-8949,F#1 Status 및 알파인 모든 사운드 시스템을 취급합니다.,sounddoctor,,,,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251069642,Alpine Dealer,사우스타운카오디오,Alpine Sound,광주,광주광역시 광산구 북문대로 605 101호,010-8621-0996,알파인 모든 사운드 시스템을 취급합니다.,southtowncaraudio,,,,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251199375,Alpine Dealer,맥스카오디오,Alpine Sound,광주,광주광역시 광산구 송도로85번길 30,010-3161-2169,알파인 모든 사운드 시스템을 취급합니다.,maxcaraudio,,,https://blog.naver.com/cvtwon,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251278146,Alpine Dealer,뷰티풀사운드,Alpine Sound,"경기중앙(성남,안양,용인,과천)",경기도 용인시 처인구 포곡읍 금어리 636,010-6449-4738,알파인 모든 사운드 시스템을 취급합니다.,beautifulsound,,,https://blog.naver.com/k8786,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251356239,Helix/Match 취급점,일루션사운드,Alpine Sound · Helix/Match 취급,"경기남부(수원,화성,평택,안성)",경기도 화성시 효행구 기안동 222-2,010-2883-8158,알파인 모든 사운드 시스템을 취급합니다.,illusionsound,,,https://blog.naver.com/jnc8158,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251431563,Helix/Match 취급점,사운드포럼,Alpine Sound · Helix/Match 취급,충북,충청북도 제천시 의림대로 590,010-8382-8400,알파인 모든 사운드 시스템을 취급합니다.,soundforum,,,,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251555171,Helix/Match 취급점,오토사운드21,Alpine Sound · Helix/Match 취급,서울,서울특별시 마포구 백범로 36,010-8993-9959,알파인 모든 사운드 시스템을 취급합니다.,autosound21,,,https://www.autosound21.co.kr/,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251639994,Helix/Match 취급점,프로카사운드,Alpine Sound · Helix/Match 취급,"경기중앙(성남,안양,용인,과천)",경기도 성남시 수정구 성남대로1542번길 43-12 101호,010-9023-2585,알파인 모든 사운드 시스템을 취급합니다.,procarsound,,,https://blog.naver.com/aquam29,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251746434,Alpine Dealer,카사운드파크,Alpine Sound,"경기남부(수원,화성,평택,안성)",경기도 화성시 동탄구 10용사3길 3-1 (반송동) 1층,010-7109-1185,알파인 모든 사운드 시스템을 취급합니다.,carsoundpark,,,https://blog.naver.com/csp-k,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251812987,Helix/Match 취급점,카사운드메이커,Alpine Sound · Helix/Match 취급,전북,전북특별자치도 익산시 익산대로 68,010-2618-2455,알파인 모든 사운드 시스템을 취급합니다.,carsoundmaker,,,https://blog.naver.com/ysca1979,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251885018,Helix/Match 취급점,퀄리티하우스,Alpine Sound · Helix/Match 취급,충남,충청남도 아산시 삼동로 70,010-4816-9221,알파인 모든 사운드 시스템을 취급합니다.,qualityhouse,,,https://blog.naver.com/jjnd1973,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770251944630,Alpine Dealer,현대카오디오,Alpine Sound,"경기동부(남양주,하남,이천,양평)",경기도 구리시 수택동 430,010-3795-4826,알파인 모든 사운드 시스템을 취급합니다.,hyundaicaraudio,,,https://blog.naver.com/huipalam,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252017508,Helix/Match 취급점,제이에이치사운드,Alpine Sound · Helix/Match 취급,경남,경상남도 김해시 구지로 181 1층(동상동),010-7670-1613,알파인 모든 사운드 시스템을 취급합니다.,jhsound,,,,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252102820,Helix/Match 취급점,에이치코드카오디오,Alpine Sound · Helix/Match 취급,서울,서울특별시 서초구 바우뫼로 140 1층,010-2783-7775,알파인 모든 사운드 시스템을 취급합니다.,hcodecaraudio,,,https://blog.naver.com/ham_sb7777,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252184174,Helix/Match 취급점,카사운드메이커(서울),Alpine Sound · Helix/Match 취급,서울,서울특별시 서초구 강남대로101안길 36,010-2618-2455,알파인 모든 사운드 시스템을 취급합니다.,carsoundmaker01,,,https://blog.naver.com/ysy0101,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252250504,Alpine Dealer,파워뱅크하우스,Alpine Sound,대전,대전광역시 서구 도산로 465,010-5407-4999,알파인 모든 사운드 시스템을 취급합니다.,powerbankhouse,,,https://blog.naver.com/bd0759,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252302728,Alpine Dealer,에이스카프라자,Alpine Sound,대전,대전광역시 중구 충무로 105 (대사동) 우측 에이스카프라자,010-2055-5082,알파인 모든 사운드 시스템을 취급합니다.,acecarplaza,,,https://blog.naver.com/lifeup,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252367530,Helix/Match 취급점,트로피칼사운드,Alpine Sound · Helix/Match 취급,서울,서울특별시 서초구 강남대로6길 108-4 (양재동) 1층 트로피칼사운드(양재동),010-5853-6659,알파인 모든 사운드 시스템을 취급합니다.,tropicalsound,,,https://blog.naver.com/2145841,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252423184,Alpine Dealer,커스텀사운드,Alpine Sound,부산,부산광역시 강서구 평강로397번길 4,010-3896-1053,알파인 모든 사운드 시스템을 취급합니다.,customsound,,,https://blog.naver.com/gpqjffp134,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252538684,Alpine Dealer,아인스아우토,Alpine Sound,울산,울산광역시 남구 돋질로 113,010-4530-8465,알파인 모든 사운드 시스템을 취급합니다.,einsauto,,,https://blog.naver.com/woos1234,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252612776,Helix/Match 취급점,라우러사운드,Alpine Sound · Helix/Match 취급,경남,경상남도 함안군 칠원읍 경남대로 1742,010-7114-7499,알파인 모든 사운드 시스템을 취급합니다.,loudersound,,,https://www.facebook.com/profile.php?id=100005510130004&mibextid=kFxxJD,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252674996,Alpine Dealer,핸즈카오디오,Alpine Sound,대구,대구광역시 남구 효성로 15 미리내맨션 상가,010-9077-6658,알파인 모든 사운드 시스템을 취급합니다.,handscaraudio,,,https://blog.naver.com/sat700,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252725836,Helix/Match 취급점,째즈카오디오,Alpine Sound · Helix/Match 취급,대구,대구광역시 서구 국채보상로 21,010-7543-9009,알파인 모든 사운드 시스템을 취급합니다.,jazzcaraudio,,,https://blog.naver.com/zero1789,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252770959,bad_seller,사운드프로,bad_seller,대구,대구광역시 남구 대명복개로 156-1 (대명동) 1층,010-3312-7980,알파인 모든 사운드 시스템을 취급합니다.,soundpro,,,,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252813652,Alpine Dealer,772카오디오,Alpine Sound,대구,경상북도 경산시 장산로 142,010-3812-7292,알파인 모든 사운드 시스템을 취급합니다.,772caraudio,,,https://blog.naver.com/car0772,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770252968891,Alpine Dealer,로드마인,Alpine Sound,서울,서울특별시 중랑구 용마산로139나길 91,010-9188-0897,Jimny 전용 메티오사운드,roadmine,,,http://www.roadmine.co.kr/,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770253046567,Helix/Match 취급점,오성카오디오,Alpine Sound · Helix/Match 취급,부산,부산광역시 수영구 광남로 171,010-4513-5513,알파인 모든 사운드 시스템을 취급합니다.,ohsungcaraudio,,,https://blog.naver.com/korearanking,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770253137261,Helix/Match 취급점,페이즈카오디오,Alpine Sound · Helix/Match 취급,부산,부산광역시 금정구 범어천로 14,010-9688-0199,알파인 모든 사운드 시스템을 취급합니다.,phasecaraudio,35.2690732,129.0900833,https://www.phasecaraudio.com/,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1770253229315,Helix/Match 취급점,미스트랄카오디오,Alpine Sound · Helix/Match 취급,경남,경상남도 창원시 진해구 창장로 195,010-9953-0757,"Hi-Fi 전문, F#1 Status와 Alpine Status 전",mistralcaraudio,,,,2026-02-25T08:33:18.146828+00:00,2026-02-25T08:33:18.146828+00:00
1772009451942,Alpine Dealer,카카오파츠(서초본점),Alpine Sound,서울,서울 서초구 반포대로24길 42-4 연산빌딩 서초스미스클럽,010-2732-3550,"알파인 스타일/멀티샵, 메티오사운드/디지털미러/알파인OEM Fit 취급",smith,37.5665,126.978,https://blog.naver.com/multinh,2026-02-25T08:50:52.030404+00:00,2026-02-25T08:50:52.030404+00:00
1775802361688,Helix/Match 취급점,리얼매직사운드,Alpine Sound · Helix/Match 취급,"경기중앙(성남,안양,용인,과천)",경기도 광주시 신현로12번길 17 (신현동),010-2849-2105,알파인 모든 사운드 시스템을 취급합니다.,magiclove883,37.5665,126.978,https://www.realmagicsound.com/,2026-04-10T06:26:03.517117+00:00,2026-04-10T06:26:03.517117+00:00
1776818521471,Helix/Match 취급점,지케이 모터스,Alpine Sound · Helix/Match 취급,부산,부산광역시 금정구 중앙대로1841번길 47,010-6668-7503,알파인 모든 사운드 시스템을 취급합니다.,gkmotors,37.5665,126.978,https://blog.naver.com/greatkoo1,2026-04-22T00:42:02.182808+00:00,2026-04-22T00:42:02.182808+00:00
1777350622184,bad_seller,미스터불독,bad_seller,대전,,,,bd0757,37.5665,126.978,,2026-04-28T04:30:24.322872+00:00,2026-04-28T04:30:24.322872+00:00
1777350622185,Musway 프리미엄샵,천안 오디오집,Musway Premium,충청남도,충청남도 천안시 서북구 안터길 4-5,041-567-9255,Musway 공식 프리미엄샵,,36.8425131,127.1534021,,2026-05-18T23:59:36.927287+00:00,2026-05-18T23:59:36.927287+00:00
1777350622186,Musway 프리미엄샵,남양주 이커스텀,Musway Premium,"경기남부(남양주,구리,하남)",경기도 남양주시 오남읍 오남리 179-2,010-4474-1321,Musway 공식 프리미엄샵,,37.6931596,127.2131047,,2026-05-18T23:59:37.277073+00:00,2026-05-18T23:59:37.277073+00:00
1777350622187,Musway 프리미엄샵,대구 현카오디오,Musway Premium,대구/경북,대구광역시 달서구 달서대로 95,0507-1363-5001,Musway 공식 프리미엄샵,,35.8150856,128.5064745,,2026-05-18T23:59:37.608599+00:00,2026-05-18T23:59:37.608599+00:00
1777350622188,Musway 프리미엄샵,마이오디오,Musway Premium,부산/경남,부산광역시 금정구 두실로 54-1,0507-1346-1308,Musway 부산 마스터샵. DSP 정밀 튜닝 및 안드로이드 올인원 연동 전문.,,35.2622933,129.0865684,,2026-05-18T23:59:37.928811+00:00,2026-05-18T23:59:37.928811+00:00
1777350622189,Musway 프리미엄샵,엘이디팩토리,Musway Premium,제주,제주특별자치도 제주시 월평8길 6,064-744-2119,Musway 공식 프리미엄샵,,33.4691195,126.5768302,,2026-05-18T23:59:38.253968+00:00,2026-05-18T23:59:38.253968+00:00
1777350622190,Musway 프리미엄샵,대전 유토피아 카오디오,Musway Premium,대전/충청,대전광역시 유성구 학하중앙로150번길 19,0507-1403-8955,Musway 공식 프리미엄샵. 대전 지역 DSP 및 PnP 튜닝 전문.,,36.3393689,127.3083973,,2026-05-18T23:59:38.579231+00:00,2026-05-18T23:59:38.579231+00:00
1777350622191,Musway 프리미엄샵,고양 오토빌리지,Musway Premium,"경기북부(고양,파주,양주)",경기도 고양시 덕양구 덕은1로 9,010-7418-3317,Musway 프리미엄 DSP 인스톨 특화. 벤츠 마이바흐 등 하이엔드 수입차 전문.,,37.572,126.888,,2026-05-18T23:59:38.908467+00:00,2026-05-18T23:59:38.908467+00:00
1777350622192,Musway 프리미엄샵,라이브 카오디오 창원본점,Musway Premium,부산/경남,경상남도 창원시 마산회원구 무역로 119,010-2816-9952,Musway 공식 프리미엄샵,,35.2187,128.5832,,2026-05-18T23:59:39.245923+00:00,2026-05-18T23:59:39.245923+00:00
1777350622193,Musway 프리미엄샵,면목동 아우토픽스,Musway Premium,서울,서울특별시 중랑구 겸재로 241,0507-1389-4665,Musway 공식 프리미엄샵,,37.5845,127.0835,,2026-05-18T23:59:39.55454+00:00,2026-05-18T23:59:39.55454+00:00
1777350622194,Musway 프리미엄샵,울산 유토피아,Musway Premium,울산/경남,울산광역시 남구 돋질로 352,010-2323-2984,Musway 공식 프리미엄샵,,35.5244,129.3194,,2026-05-18T23:59:39.88734+00:00,2026-05-18T23:59:39.88734+00:00
1777350622195,Musway 프리미엄샵,하남 제이엘커스텀,Musway Premium,"경기남부(남양주,구리,하남)",경기도 하남시 초이로 52-2,0507-1447-6567,Musway 공식 프리미엄샵,,37.5395,127.207,,2026-05-18T23:59:40.232963+00:00,2026-05-18T23:59:40.232963+00:00
1777350622196,Musway 프리미엄샵,시흥 퍼펙트사운드,Musway Premium,"경기서부(인천,시흥,안산)",경기도 시흥시 배곧전원로 14-3,0507-1334-0430,Match DSP 및 그라운드제로 스피커 전문. 고정 고객층 확실.,,37.3752,126.7317,,2026-05-18T23:59:40.555947+00:00,2026-05-18T23:59:40.555947+00:00
1777350622197,DSP 인스톨 전문샵,카오디오뱅크,Helix/Match 취급점 · Helix/Match 취급,서울,서울특별시 광진구 동일로 386 창영빌딩 1F,1688-6880,Helix/Match 공식 취급 및 시공. 국내 최대 카오디오 인스톨 전문점. 8~12채널 하이엔드 DSP 패키지 운영.,,37.5649367,127.0772196,https://www.caraudiobank.com,2026-05-18T23:59:40.864122+00:00,2026-05-18T23:59:40.864122+00:00
1777350622198,DSP 인스톨 전문샵,오렌지커스텀,프리미엄 인스톨샵 · Helix/Match 취급,서울,서울특별시 용산구 후암동 448-144,1599-3738,Focal+DSP 고가 패키지 전문. 테슬라/벤츠/BMW 수입차 고객층 특화.,,37.542,126.98,https://www.instagram.com/todol_84,2026-05-18T23:59:41.199928+00:00,2026-05-18T23:59:41.199928+00:00
1777350622199,DSP 인스톨 전문샵,오토소닉스,Helix/Match 취급점,"경기북부(고양,파주,양주)",경기도 고양시 일산동구 백석동 1112-10,031-902-5257,다인오디오+매치/헬릭스 DSP 매칭 전문. 수입차 오너 팬덤 두터운 샵.,,37.6741,126.7725,,2026-05-18T23:59:41.906338+00:00,2026-05-18T23:59:41.906338+00:00
1777350622200,DSP 인스톨 전문샵,리얼카오디오,DSP 전문 인스톨샵,대전/충청,대전광역시 유성구 원신흥동 543-5,010-3755-7847,대전 DSP 인스톨 및 PnP 세팅 전문. 대전 사운드컵 주최 대표. Audison 마스터즈샵.,,36.365,127.342,https://realcaraudio.modoo.at,2026-05-18T23:59:42.236413+00:00,2026-05-18T23:59:42.236413+00:00
